p_val	avg_logFC	pct.1	pct.2	p_val_adj
Rps19	3.54218216182707e-62	-0.35795671331716	1	1	4.82834850478648e-58
Rpl13	7.29013276201923e-61	-0.318424252809921	1	1	9.93717996790841e-57
Rps18	6.04437524336775e-56	-0.328963533888517	0.998	1	8.23908789423458e-52
Rplp0	9.78418855462066e-54	-0.362374938576031	0.998	1	1.33368274188034e-49
Rpl32	8.4543156140937e-53	-0.326892084794765	0.998	1	1.15240776135711e-48
Rps28	1.09779978267647e-52	-0.303587701837915	0.999	1	1.49641088376629e-48
Rps5	2.02488299654801e-49	-0.351355857909658	0.993	1	2.7601180125946e-45
Rpl18a	1.56285978129059e-38	-0.238759136746141	0.999	1	2.13033416787721e-34
Rps4x	1.02734989268463e-33	-0.262066915804142	0.992	0.993	1.40038063871842e-29
Rps8	1.0739476414554e-33	-0.276935142086598	0.994	1	1.46389803006786e-29
Malat1	9.63090353009505e-31	0.239325865635593	1	1	1.31278846018726e-26
Rpl17	1.57698756431152e-30	-0.263802957882938	0.993	1	2.14959174891303e-26
Rps7	2.24792680565577e-30	-0.284327095568398	0.992	1	3.06414902878938e-26
Rps2	4.4432240258746e-29	-0.33636495866996	0.943	0.995	6.05655866966967e-25
Rps14	4.67571201668923e-29	-0.203007315106838	0.999	1	6.37346304994908e-25
Rps6	2.40436302115034e-28	-0.23583067444397	0.997	1	3.27738723413003e-24
Rps24	1.65917875417029e-27	-0.231252186084526	0.998	0.998	2.26162655980952e-23
Rpl41	1.39467005507016e-26	-0.191211926450326	1	1	1.90107475206614e-22
Rps16	2.08529316288496e-26	-0.20353425185402	0.999	1	2.84246311032849e-22
Rpl23	2.28791326861836e-26	-0.258663745139463	0.991	0.998	3.11865457645369e-22
Rpl39	3.08667627082261e-26	-0.259300385641803	0.986	0.998	4.2074484247583e-22
Rpl12	3.30286237382967e-25	-0.326865631938968	0.92	0.988	4.50213170176722e-21
Jun	3.7994532153685e-25	-0.665816888138556	0.612	0.816	5.17903467786881e-21
Rpsa	7.68533387408758e-25	-0.286963359168367	0.954	0.998	1.04758786037688e-20
Rpl3	1.46912550441441e-24	-0.234917167941515	0.989	0.998	2.00256497506728e-20
Rpl37a	2.68123862755076e-24	-0.200559517552181	1	1	3.65479637321443e-20
Rpl8	4.07261627290614e-24	-0.242461461285627	0.992	0.998	5.55138324159837e-20
Rps20	4.23575050284368e-24	-0.270836686904841	0.975	0.99	5.77375151042622e-20
Rps23	1.130634344915e-22	-0.181919254072427	1	1	1.54116767555363e-18
Rps15a	2.59874174682438e-22	-0.197830532546615	0.998	1	3.54234487509631e-18
Rpl6	2.67314813759464e-22	-0.237001509713089	0.984	0.998	3.64376822635526e-18
Rpl22l1	5.81278414565589e-22	-0.376346141944648	0.815	0.963	7.92340606894355e-18
Rpl14	1.49818640556788e-21	-0.203611102932407	0.995	1	2.04217788942957e-17
Rps15	2.38381257719726e-21	-0.22081035692384	0.992	0.998	3.24937492397758e-17
Rack1	2.5547641571346e-21	-0.41820205800586	0.695	0.885	3.48239902259017e-17
Emilin1	2.60230640764107e-21	0.00660258269699074	0.048	0.167	3.54720386425554e-17
Rpl4	4.52514501812359e-21	-0.249046016985361	0.967	0.985	6.16822517420427e-17
Rplp1	6.37054950249888e-21	-0.195615790474945	0.993	1	8.68369602685623e-17
Dcakd	6.82424660302193e-21	-0.00801916321099748	0.059	0.179	9.3021305445792e-17
Rplp2	1.37212587814977e-20	-0.208944814841571	0.991	1	1.87034478450595e-16
Rpl15	1.74994212060872e-20	-0.236716419859397	0.981	0.998	2.38534610460175e-16
Zfp97	7.688800985443e-20	-0.0150882326462445	0.028	0.137	1.04806046232573e-15
Dapl1	9.49245095364936e-20	-0.975562514792421	0.178	0.382	1.29391598949194e-15
Eef1a1	1.83621476852071e-19	-0.200425494567958	0.994	0.998	2.50294435097058e-15
Rpl23a	6.8780344771386e-19	-0.185019105389617	0.998	1	9.37544879578762e-15
Elovl7	2.20717383111981e-18	-0.00297123782658298	0.038	0.13	3.00859864919942e-14
Gtf3c4	4.96628514513792e-18	0.00969909539656013	0.025	0.113	6.76954328133749e-14
Rpl10a	9.12008343529351e-18	-0.245747385590354	0.934	0.978	1.24315857306486e-13
Rpl24	1.3987581439639e-17	-0.215896211009378	0.961	0.995	1.90664722603719e-13
Rpl18	1.75566960894772e-17	-0.233894137269733	0.978	0.993	2.39315324395664e-13
Rps13	2.94154649641519e-17	-0.1878263247812	0.996	0.998	4.00962202926354e-13
Trbc2	6.27001767056959e-17	0.343802646378369	0.973	0.936	8.54666108675341e-13
Rps9	7.36701060364186e-17	-0.184039199044381	0.993	1	1.00419721538242e-12
Prrg2	1.38667672959291e-16	-0.0139747414280548	0.037	0.145	1.89017905010809e-12
Trp53bp2	1.50994684146241e-16	-0.0605031631072931	0.075	0.174	2.05820853959741e-12
Rps3	3.49234121813737e-16	-0.177263488408795	0.995	0.998	4.76041031444305e-12
Rps10	3.64606478861566e-16	-0.248945248965052	0.957	0.98	4.96995091336201e-12
Rpl36	3.71196647992096e-16	-0.177486471967329	0.996	1	5.05978150878026e-12
Rpl28	8.54083047948489e-16	-0.246094723802569	0.88	0.968	1.16420060265859e-11
G2e3	1.06057003255753e-15	-0.066064706441487	0.054	0.14	1.44566301137917e-11
Tada2a	1.2416209473936e-15	-0.0229408209276279	0.039	0.118	1.69245351339222e-11
Gdap10	4.45231659052412e-15	-0.0178488742202087	0.071	0.196	6.06895274454343e-11
Rpl37	5.0146033969471e-15	-0.151665517151747	0.998	1	6.83540589037859e-11
Brca2	5.3895779766552e-15	0.0074926953223448	0.052	0.142	7.34653373997871e-11
Gm49169	1.22336983143561e-14	-0.0154870578996487	0.062	0.162	1.66757541722988e-10
Lpar2	1.23831931848833e-14	0.00645589950907256	0.046	0.127	1.68795306303144e-10
Rpl27a	1.35856633395043e-14	-0.182113312465285	0.984	1	1.85186176980783e-10
Eef2	1.73795181722076e-14	-0.282138604797917	0.786	0.914	2.36900212205361e-10
Hist1h3e	3.22431591206951e-14	-0.0354132305040438	0.03	0.12	4.39506501974195e-10
Actb	3.80596081748216e-14	0.379491001343295	0.991	0.983	5.18790519030993e-10
Rps3a1	4.12145273422102e-14	-0.16962268800448	0.993	0.998	5.61795222201667e-10
Rps27a	4.87702346565303e-14	-0.147110785220545	0.996	1	6.64787068603164e-10
Trappc10	5.00018449865893e-14	-0.0163108492680977	0.103	0.201	6.81575149012198e-10
Trap1	6.2749157739259e-14	0.022278491133752	0.115	0.218	8.55333769143839e-10
Polr1b	6.37191921014507e-14	-0.0462465034557537	0.052	0.154	8.68556307534875e-10
Tyk2	7.60208475188156e-14	-0.0516860404539504	0.062	0.157	1.03624017252898e-09
Slc39a13	8.53461809933299e-14	-0.0275537883464131	0.102	0.196	1.16335379312008e-09
Creb3l2	1.41592478511691e-13	-0.000448918353955643	0.063	0.137	1.93004707459286e-09
Tsen54	1.78197177198674e-13	-0.0412208633795655	0.059	0.159	2.42900572239513e-09
3830403N18Rik	2.22741556348675e-13	-0.0135639571874547	0.047	0.14	3.03619015458879e-09
Fancc	2.47766200118194e-13	-0.0473324923383578	0.043	0.125	3.3773010738111e-09
Sos1	3.56698019917885e-13	0.0430972323135841	0.195	0.086	4.86215070950068e-09
Zfpm1	4.6482735331532e-13	0.0483823175684562	0.128	0.02	6.33606165304113e-09
