p_val	avg_logFC	pct.1	pct.2	p_val_adj	abs	genename
Rpl13	6.9094559902595e-212	-0.482852265122613	1	1	9.41827946032272e-208	0.482852265122613	Rpl13
Rps19	2.70055912335945e-206	-0.533760628460386	0.998	1	3.68113214105127e-202	0.533760628460386	Rps19
Rpl32	2.23523677923808e-199	-0.473345401226788	1	1	3.04685125377942e-195	0.473345401226788	Rpl32
Rps18	1.93618622225409e-194	-0.475438760571348	0.998	1	2.63921543955455e-190	0.475438760571348	Rps18
Rplp0	6.85818595952714e-186	-0.551172845837327	0.992	1	9.34839328143145e-182	0.551172845837327	Rplp0
Rpl18a	5.93432143564507e-150	-0.366376688775514	0.999	1	8.0890735489278e-146	0.366376688775514	Rpl18a
Rps5	1.67923705207965e-138	-0.41529651726419	0.998	1	2.28896802568977e-134	0.41529651726419	Rps5
Rps28	1.9276912562115e-134	-0.357703308502215	1	1	2.6276359513419e-130	0.357703308502215	Rps28
Rps24	8.87017881875193e-128	-0.370965978124593	0.997	1	1.20909407478408e-123	0.370965978124593	Rps24
Rpl17	3.16376665675413e-117	-0.386261174770037	0.997	1	4.31253032982155e-113	0.386261174770037	Rpl17
Rps7	3.2294566559739e-117	-0.420139148313367	0.981	1	4.40207236775802e-113	0.420139148313367	Rps7
Rps15a	1.65570887606992e-116	-0.33029736600833	1	1	2.25689676897091e-112	0.33029736600833	Rps15a
Rps6	5.87415985878508e-114	-0.364871862053115	0.998	1	8.00706730350995e-110	0.364871862053115	Rps6
Rpl39	7.51734148841348e-110	-0.393848558431276	0.988	0.999	1.02468881828564e-105	0.393848558431276	Rpl39
Rps2	8.57609170911704e-110	-0.470126753637335	0.961	0.998	1.16900706086974e-105	0.470126753637335	Rps2
Rpl23a	2.53069010391586e-106	-0.327196030607786	0.996	1	3.4495836806477e-102	0.327196030607786	Rpl23a
Rps16	3.74138868890484e-106	-0.304804830842254	1	1	5.09988692184619e-102	0.304804830842254	Rps16
Rpl23	5.72551865522399e-106	-0.386023861491854	0.983	1	7.80445447893582e-102	0.386023861491854	Rpl23
Malat1	7.89490976520592e-106	0.391267826829453	1	1	1.07615515009522e-101	0.391267826829453	Malat1
Rps4x	1.758465112272e-105	-0.387751093991753	0.994	1	2.39696379453796e-101	0.387751093991753	Rps4x
Rpl3	1.88491066187243e-101	-0.374513423600778	0.989	1	2.56932172319831e-97	0.374513423600778	Rpl3
Rpsa	2.65297905256415e-101	-0.437448257946977	0.967	0.999	3.6162757465502e-97	0.437448257946977	Rpsa
Rps8	4.15405117187287e-99	-0.35575606242062	0.994	1	5.66238715237992e-95	0.35575606242062	Rps8
Rps20	6.44686669236869e-99	-0.411926256167951	0.978	0.998	8.78772398836777e-95	0.411926256167951	Rps20
Rpl37a	1.8975387260736e-98	-0.282165533842143	1	1	2.58653503751092e-94	0.282165533842143	Rpl37a
Rps23	6.7286156545296e-96	-0.280936777178046	0.999	1	9.17177599868929e-92	0.280936777178046	Rps23
Rpl10a	1.43169326479648e-93	-0.435821503731784	0.939	0.995	1.95154108924408e-89	0.435821503731784	Rpl10a
Rpl15	1.22548122445251e-92	-0.384485828637081	0.981	0.999	1.67045345705122e-88	0.384485828637081	Rpl15
Rpl4	1.71307687497776e-91	-0.386872815672064	0.98	0.996	2.33509508828219e-87	0.386872815672064	Rpl4
Rpl12	6.40311654650187e-88	-0.448511600796787	0.928	0.996	8.7280881645367e-84	0.448511600796787	Rpl12
Tmsb4x	2.29710151978335e-87	0.262330883948155	1	1	3.13117908161669e-83	0.262330883948155	Tmsb4x
Rpl41	6.4024459619756e-86	-0.245463572339157	1	1	8.72717409076895e-82	0.245463572339157	Rpl41
